Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
CUSUM,0.3126315789473684,,880.0,36.20292399864411,76.0,1.0,0.0,0.0
DDM,0.3126315789473684,,904.0,37.11691699936637,30.0,1.0,1.0,0.0
EDDM,0.3126315789473684,,1472.0,33.84228800132405,11.0,1.0,3.0,0.0
EWMA,0.3126315789473684,,960.0,40.21353200005251,4.0,1.0,4.0,0.0
FHDDM,0.3126315789473684,,1744.0,36.15915699992911,54.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,51.59549699965282,27.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,40.09555700031342,49.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1232.0,50.084229002095526,19.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,52.60926600021776,27.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,87.39658999911626,38.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,64.97157399644493,38.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,67.89641299837967,37.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,34.0117019986792,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,36.04590900067706,112.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,51.333359002455836,17.0,1.0,1.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,44.645003999903565,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6536.0,65.40954700176371,55.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,98.80712499943911,6.0,1.0,2.0,0.0
CDDM,0.3126315789473684,,8944.0,91.84981300131767,102.0,1.0,0.0,0.0
CUSUM,0.3126315789473684,,880.0,36.16067300026771,118.0,1.0,0.0,0.0
DDM,0.3126315789473684,,904.0,37.274768998031504,7.0,1.0,1.0,0.0
EDDM,0.3126315789473684,,1472.0,34.21828399950755,24.0,1.0,5.0,0.0
EWMA,0.3126315789473684,,960.0,42.77346700109774,5.0,1.0,3.0,0.0
FHDDM,0.3126315789473684,,1744.0,47.22402599873021,52.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,53.043634001369355,20.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,40.80475799855776,24.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1264.0,52.13465199994971,27.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,51.94997100261389,45.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,90.00718899915228,52.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,65.12100600230042,46.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,66.70991799910553,42.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,46.149798999977065,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,47.70419000124093,141.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,52.55516100078239,18.0,1.0,1.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,53.26865899769473,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6600.0,65.94488699920475,55.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,99.12118799911696,5.0,1.0,4.0,0.0
CDDM,0.3126315789473684,,8944.0,92.82593299940345,75.0,1.0,0.0,0.0
CUSUM,0.3126315789473684,,880.0,36.82263100199634,92.0,1.0,0.0,0.0
DDM,0.3126315789473684,,904.0,37.0115400000941,19.0,1.0,1.0,0.0
EDDM,0.3126315789473684,,1472.0,33.2516439993924,26.0,1.0,6.0,0.0
EWMA,0.3126315789473684,,960.0,40.44946900103241,6.0,1.0,2.0,0.0
FHDDM,0.3126315789473684,,1744.0,49.38536800182192,41.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,63.25115599975106,19.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,49.97754799842369,24.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1296.0,50.84761999751208,11.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,54.592781998508144,19.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,88.41071500137332,29.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,64.7185529996932,17.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,67.85290100015118,30.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,33.589734997804044,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,35.259390999272,100.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,63976.0,53.25715099752415,12.0,1.0,0.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,45.8378770017589,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6544.0,65.04043599852594,23.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,103.85846699864487,7.0,1.0,2.0,0.0
CDDM,0.3126315789473684,,8944.0,92.39143800004967,92.0,1.0,0.0,0.0
CUSUM,0.3126315789473684,,880.0,35.83293500196305,100.0,1.0,0.0,0.0
DDM,0.3126315789473684,,904.0,37.30912600076408,24.0,1.0,0.0,0.0
EDDM,0.3126315789473684,,1440.0,34.63176399964141,12.0,1.0,3.0,0.0
EWMA,0.3126315789473684,,960.0,49.34558500099229,5.0,1.0,2.0,0.0
FHDDM,0.3126315789473684,,1744.0,36.16697700272198,58.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,51.82431199864368,28.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,42.15383600239875,49.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1296.0,50.50906700125779,43.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,56.48922700129333,21.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,87.18479900198872,34.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,65.16742399981013,32.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,80.66589900045074,36.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,45.60324100020807,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,34.9780569995346,141.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,40.0444270017033,17.0,1.0,2.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,45.41428800075664,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6544.0,64.61126300200704,23.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,99.36754299997119,8.0,1.0,5.0,0.0
CDDM,0.3126315789473684,,8944.0,93.45253699939349,80.0,1.0,0.0,0.0
CUSUM,0.3126315789473684,,880.0,35.975803999463096,87.0,1.0,0.0,0.0
